VentaID,FechaVenta,Anio,MesNumero,MesNombre,ClienteID,ClienteNombre,SegmentoCliente,IndustriaCliente,ProductoID,ProductoNombre,CategoriaProducto,MarcaProducto,RegionID,RegionNombre,Pais,ResponsableRegionEmail,VendedorID,VendedorNombre,CanalVenta,EstadoPedido,MetodoPago,Cantidad,PrecioUnitario,CostoUnitario,DescuentoPct,ImporteBruto,ImporteDescuento,ImporteNeto,CostoTotal,Margen,FechaCarga
VEN-00001,2026-03-09,2026,3,Marzo,C006,Proseware Labs,SMB,technology,P008,Governance Advisory,Consulting,Data Days,R002,Centro,Espana,centro.manager@datadays.local,V005,Sofia Ramirez,Marketplace,Pendiente,Transferencia,2,1250.00,420.00,0.05,2500.00,125.00,2375.00,840.00,1535.00,2026-08-05
VEN-00002,2026-01-16,2026,1,Enero,C002,Contoso Market,Enterprise,retail,P001,Fabric Capacity F64,Cloud Analytics,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V003,Lucia Perez,Partner,Completado,Tarjeta,6,820.00,510.00,0.00,4920.00,0.00,4920.00,3060.00,1860.00,2026-08-05
VEN-00003,2026-02-11,2026,2,Febrero,C003,Fabrikam Digital,Corporate,technology,P001,Fabric Capacity F64,Cloud Analytics,Microsoft,R004,Latam,Mexico,latam.manager@datadays.local,V005,Sofia Ramirez,Partner,Pendiente,Tarjeta,12,820.00,510.00,0.15,9840.00,1476.00,8364.00,6120.00,2244.00,2026-08-05
VEN-00004,2026-04-21,2026,4,Abril,C009,Graphic Design Institute,Corporate,education,P007,DP-600 Exam Prep,Training,Data Days,R003,Sur,Espana,sur.manager@datadays.local,V001,Ana Torres,Online,Cancelado,Orden de compra,10,420.00,95.00,0.03,4200.00,126.00,4074.00,950.00,3124.00,2026-08-05
VEN-00005,2026-01-06,2026,1,Enero,C007,Tailspin Toys,SMB,retail,P001,Fabric Capacity F64,Cloud Analytics,Microsoft,R002,Centro,Espana,centro.manager@datadays.local,V004,Miguel Santos,Online,Pendiente,Transferencia,3,820.00,510.00,0.10,2460.00,246.00,2214.00,1530.00,684.00,2026-08-05
VEN-00006,2026-04-19,2026,4,Abril,C010,Blue Yonder Airlines,Enterprise,travel,P003,Power BI Premium User,Business Intelligence,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V001,Ana Torres,Partner,Cancelado,Transferencia,4,22.80,7.20,0.10,91.20,9.12,82.08,28.80,53.28,2026-08-05
VEN-00007,2026-05-29,2026,5,Mayo,C009,Graphic Design Institute,Corporate,education,P005,SQL Analytics Pack,Data Warehouse,Microsoft,R003,Sur,Espana,sur.manager@datadays.local,V002,Carlos Molina,Marketplace,Completado,Tarjeta,10,310.00,155.00,0.08,3100.00,248.00,2852.00,1550.00,1302.00,2026-08-05
VEN-00008,2026-06-17,2026,6,Junio,C002,Contoso Market,Enterprise,retail,P002,Power BI Pro,Business Intelligence,Microsoft,R003,Sur,Espana,sur.manager@datadays.local,V003,Lucia Perez,Partner,Pendiente,Orden de compra,10,13.70,4.10,0.10,137.00,13.70,123.30,41.00,82.30,2026-08-05
VEN-00009,2026-05-21,2026,5,Mayo,C004,Adventure Works,Corporate,manufacturing,P002,Power BI Pro,Business Intelligence,Microsoft,R003,Sur,Espana,sur.manager@datadays.local,V005,Sofia Ramirez,Partner,Cancelado,Orden de compra,1,13.70,4.10,0.15,13.70,2.05,11.64,4.10,7.54,2026-08-05
VEN-00010,2026-01-31,2026,1,Enero,C007,Tailspin Toys,SMB,retail,P004,Azure Data Lake Storage,Storage,Microsoft,R001,Norte,Espana,norte.manager@datadays.local,V003,Lucia Perez,Enterprise Sales,Completado,Tarjeta,12,95.00,42.00,0.10,1140.00,114.00,1026.00,504.00,522.00,2026-08-05
